Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
0.59375,0.6000000000000001,0.4999999999999999,0.4599999999999999,0.0,0.5,67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
0.46875,0.1,0.6666666666666666,0.1799999999999999,0.6666666666666666,0.6666666666666666,61,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0.625,0.9500000000000002,0.4999999999999999,0.8200000000000001,0.6666666666666666,0.6666666666666666,74,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
0.78125,0.7250000000000001,0.6666666666666666,0.96,0.3333333333333333,0.6666666666666666,71,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1
0.46875,0.8000000000000003,0.3333333333333333,0.3,1.0,0.6666666666666666,70,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
0.46875,0.7000000000000002,0.6666666666666666,0.78,1.0,0.5,71,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
0.78125,0.6000000000000001,0.4999999999999999,0.3600000000000001,0.3333333333333333,0.3333333333333333,67,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1
0.65625,0.4500000000000002,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,66,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0.40625,0.8500000000000001,0.3333333333333333,0.6000000000000001,0.0,0.1666666666666666,69,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1
0.59375,0.9500000000000002,0.6666666666666666,0.4199999999999999,0.0,0.8333333333333333,72,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
0.40625,0.5,0.6666666666666666,0.76,1.0,0.6666666666666666,68,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0.40625,0.9250000000000004,0.3333333333333333,0.74,0.6666666666666666,0.3333333333333333,71,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
0.53125,0.5750000000000002,0.6666666666666666,0.94,0.6666666666666666,0.6666666666666666,70,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
0.15625,0.5500000000000003,0.6666666666666666,0.4399999999999999,0.6666666666666666,0.5,66,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1
0.1875,0.4500000000000002,0.6666666666666666,0.48,0.3333333333333333,0.6666666666666666,65,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
0.40625,0.2000000000000001,0.6666666666666666,0.4000000000000001,0.6666666666666666,0.6666666666666666,64,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0.3125,0.0,1.0,0.3,0.0,0.5,60,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
0.5625,0.25,0.3333333333333333,0.6400000000000001,0.3333333333333333,0.5,65,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
0.34375,0.5,0.8333333333333334,0.8200000000000001,1.0,0.3333333333333333,67,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
0.25,0.375,0.4999999999999999,0.1599999999999999,1.0,0.6666666666666666,66,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1
0.78125,0.4500000000000002,0.1666666666666666,0.98,0.0,0.1666666666666666,69,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
0.46875,0.975,0.3333333333333333,0.6799999999999999,0.3333333333333333,0.5,72,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
0.5,0.3500000000000001,0.6666666666666666,0.78,0.3333333333333333,0.3333333333333333,66,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0.21875,0.4500000000000002,0.6666666666666666,1.0,0.3333333333333333,0.5,66,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1
0.40625,0.125,0.1666666666666666,0.5,0.6666666666666666,0.5,63,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
0.53125,0.05,0.3333333333333333,0.08,0.0,0.5,64,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
